序号,实体名,中文名,工业用途分类,软件模块分类,EXPRESS schema,说明链接
142,basic_round_hole_occurrence_in_assembly,装配中的基本圆孔实例,产品 / 配置 / 数据管理（PDM） / 特征 / 加工特征,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,counterbore_countersink_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/4_schema.htm#counterbore_countersink_schema.basic_round_hole_occurrence_in_assembly
143,basic_sparse_matrix,基本稀疏矩阵,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
144,between_shape_aspect,形状要素之间,特征 / 加工特征,其他 / 通用基础,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.between_shape_aspect
145,bezier_curve,贝塞尔曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bezier_curve
146,bezier_surface,贝塞尔曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bezier_surface
147,bezier_volume,贝塞尔体积,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bezier_volume
148,binary_boolean_expression,二进制布尔表达式,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
149,binary_function_call,二元函数调用,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
150,binary_generic_expression,二进制通用表达式,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
151,binary_literal,二进制字面量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
152,binary_numeric_expression,二元数值表达式,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
153,block,块,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.block
154,block_shape_representation,块形状表示,渲染 / 外观 / 可视化 / 几何 / 拓扑 / 实体造型 / 特征 / 加工特征,3D 建模 / 实体造型（3D modeling & solid） / 渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,aim-block_shape_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-block_shape_representation
155,block_volume,块体积,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.block_volume
156,boolean_defined_function,布尔定义函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
157,boolean_expression,布尔表达式,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
158,boolean_literal,布尔字面量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
159,boolean_representation_item,布尔表示项,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,basic_data_representation_mim,https://www.steptools.com/stds/smrl/data/modules/basic_data_representation/sys/5_mim.htm#basic_data_representation_mim.boolean_representation_item
160,boolean_result,布尔结果,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.boolean_result
161,boolean_variable,布尔变量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
162,boring_operation,镗孔操作,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-boring_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-boring_operation
163,boss,凸台,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.boss
164,boss_top,凸台顶部,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.boss_top
165,bottom_and_side_milling_operation,底部与侧铣削操作,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-bottom_and_side_milling_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-bottom_and_side_milling_operation
166,bound_variable_semantics,界变量语义,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
167,boundary_curve,边界曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.boundary_curve
168,bounded_curve,有界曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bounded_curve
169,bounded_pcurve,有界参数曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bounded_pcurve
170,bounded_surface,有界曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bounded_surface
171,bounded_surface_curve,有界曲面曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bounded_surface_curve
172,box_domain,盒域,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.box_domain
173,boxed_half_space,盒式半空间,几何 / 拓扑 / 实体造型 / 表达式 / 数学 / 矩阵,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.boxed_half_space
174,breakdown_context,分解上下文,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration） / 元模型 / 表示框架（representation framework）,product_breakdown_mim,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/5_mim.htm#product_breakdown_mim.breakdown_context
175,breakdown_element_group_assignment,分解元素组赋值,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_breakdown_mim,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/5_mim.htm#product_breakdown_mim.breakdown_element_group_assignment
176,breakdown_element_realization,分解元素实现,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_breakdown_mim,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/5_mim.htm#product_breakdown_mim.breakdown_element_realization
177,breakdown_element_usage,分解元素用法,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_breakdown_mim,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/5_mim.htm#product_breakdown_mim.breakdown_element_usage
178,breakdown_of,分解,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_breakdown_mim,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/5_mim.htm#product_breakdown_mim.breakdown_of
179,brep_with_voids,带空腔的边界表示,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.brep_with_voids
180,calendar_date,日历日期,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,date_time_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/10_schema.htm#date_time_schema.calendar_date
181,camera_image,相机图像,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_image
182,camera_image_3d_with_scale,带比例的相机图像三维,渲染 / 外观 / 可视化,3D 建模 / 实体造型（3D modeling & solid） / 渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_image_3d_with_scale
183,camera_model,相机模型,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_model
184,camera_model_d3,相机模型D3,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_model_d3
185,camera_model_d3_multi_clipping,相机模型D3多裁剪,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_model_d3_multi_clipping
186,camera_model_d3_multi_clipping_intersection,相机模型D3多裁剪相交,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_model_d3_multi_clipping_intersection
187,camera_model_d3_multi_clipping_union,相机模型D3多裁剪并集,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_model_d3_multi_clipping_union
188,camera_model_d3_with_hlhsr,带消隐的相机模型D3,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_model_d3_with_hlhsr
189,camera_model_with_light_sources,带光源源的相机模型,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_model_with_light_sources
190,camera_usage,相机用法,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.camera_usage
191,capacitance_measure_with_unit,带单位的电容值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.capacitance_measure_with_unit
192,capacitance_unit,电容单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.capacitance_unit
193,cartesian_complex_number_region,笛卡儿复数区域,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
194,cartesian_point,笛卡儿点,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.cartesian_point
195,cartesian_transformation_operator,笛卡儿变换运算符,几何 / 拓扑 / 实体造型 / 表达式 / 数学 / 矩阵,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.cartesian_transformation_operator
196,cartesian_transformation_operator_2d,笛卡儿变换运算符二维,几何 / 拓扑 / 实体造型 / 表达式 / 数学 / 矩阵,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.cartesian_transformation_operator_2d
197,cartesian_transformation_operator_3d,笛卡儿变换运算符三维,几何 / 拓扑 / 实体造型 / 表达式 / 数学 / 矩阵,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.cartesian_transformation_operator_3d
198,celsius_temperature_measure_with_unit,带单位的摄氏温度,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.celsius_temperature_measure_with_unit
199,centre_of_symmetry,对称中心,特征 / 加工特征,其他 / 通用基础,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.centre_of_symmetry
200,certification,认证,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,certification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/8_schema.htm#certification_schema.certification
201,certification_assignment,认证赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.certification_assignment
202,certification_type,认证类型,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,certification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/8_schema.htm#certification_schema.certification_type
203,chain_based_geometric_item_specific_usage,链基于几何项特定用法,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,shape_property_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/shape_property_assignment/sys/5_mim.htm#shape_property_assignment_mim.chain_based_geometric_item_specific_usage
204,chain_based_item_identified_representation_usage,链基于项被标识表示用法,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,product_property_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/23_schema.htm#product_property_representation_schema.chain_based_item_identified_representation_usage
205,chamfer,倒角,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.chamfer
206,chamfer_offset,倒角偏置,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.chamfer_offset
207,character_glyph_style_outline,字符字形样式轮廓,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.character_glyph_style_outline
208,character_glyph_style_stroke,字符字形样式笔画,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.character_glyph_style_stroke
209,characteristic_data_column_header,特征数据列头,产品 / 配置 / 数据管理（PDM）,元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,characteristic_mim,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/5_mim.htm#characteristic_mim.characteristic_data_column_header
210,characteristic_data_column_header_link,特征数据列头链接,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation） / 元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization）,characteristic_mim,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/5_mim.htm#characteristic_mim.characteristic_data_column_header_link
211,characteristic_data_table_header,特征数据表头,产品 / 配置 / 数据管理（PDM）,元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,characteristic_mim,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/5_mim.htm#characteristic_mim.characteristic_data_table_header
212,characteristic_data_table_header_decomposition,特征数据表头分解,产品 / 配置 / 数据管理（PDM）,元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,characteristic_mim,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/5_mim.htm#characteristic_mim.characteristic_data_table_header_decomposition
213,characteristic_type,特征类型,产品 / 配置 / 数据管理（PDM）,元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration） / 类型系统 / 选择机制（type system & select）,characteristic_mim,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/5_mim.htm#characteristic_mim.characteristic_type
214,characterized_class,特征化类,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 属性 / 特征化（property & characterization）,classification_with_attributes_mim,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/5_mim.htm#classification_with_attributes_mim.characterized_class
215,characterized_item_within_representation,表示内的被特征化项,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization）,product_property_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/23_schema.htm#product_property_representation_schema.characterized_item_within_representation
216,characterized_object,特征化对象,产品 / 配置 / 数据管理（PDM）,属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.characterized_object
217,characterized_object_relationship,特征化对象关系,产品 / 配置 / 数据管理（PDM）,属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.characterized_object_relationship
218,characterized_product_concept_feature,特征化产品概念特征,产品 / 配置 / 数据管理（PDM） / 特征 / 加工特征,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration） / 属性 / 特征化（property & characterization）,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.characterized_product_concept_feature
219,characterized_product_concept_feature_category,特征化产品概念特征类别,产品 / 配置 / 数据管理（PDM） / 特征 / 加工特征,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration） / 属性 / 特征化（property & characterization）,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.characterized_product_concept_feature_category
220,characterized_representation,特征化表示,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization）,characterized_representation_mim,https://www.steptools.com/stds/smrl/data/modules/characterized_representation/sys/5_mim.htm#characterized_representation_mim.characterized_representation
221,circle,圆,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.circle
222,circular_closed_profile,圆形闭合轮廓,特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.circular_closed_profile
223,circular_involute,圆形渐开线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.circular_involute
224,circular_path,圆形路径,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation） / 2D 绘图 / 草图（2D drafting & sketch）,kinematic_motion_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/8_schema.htm#kinematic_motion_representation_schema.circular_path
225,circular_pattern,圆形阵列,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.circular_pattern
226,circular_runout_tolerance,圆跳动公差,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.circular_runout_tolerance
227,class,类,产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration） / 类型系统 / 选择机制（type system & select）,classification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/classification_and_set_theory/sys/4_schema.htm#classification_schema.class
228,class_by_extension,按外延定义的类,产品 / 配置 / 数据管理（PDM） / 特征 / 加工特征,数据管理 / 配置（PDM & configuration）,classification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/classification_and_set_theory/sys/4_schema.htm#classification_schema.class_by_extension
229,class_by_intension,按内涵定义的类,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,classification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/classification_and_set_theory/sys/4_schema.htm#classification_schema.class_by_intension
230,class_system,类系统,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,classification_with_attributes_mim,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/5_mim.htm#classification_with_attributes_mim.class_system
231,class_usage_effectivity_context_assignment,类用法有效性上下文赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 有效性 / 版本（effectivity & versioning）,specification_control_mim,https://www.steptools.com/stds/smrl/data/modules/specification_control/sys/5_mim.htm#specification_control_mim.class_usage_effectivity_context_assignment
232,classification_assignment,分类赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.classification_assignment
233,classification_assignment_relationship,分类赋值关系,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.classification_assignment_relationship
234,classification_role,分类角色,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.classification_role
235,closed_path_profile,闭合路径轮廓,特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.closed_path_profile
236,closed_shell,闭合壳,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,topology_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/5_schema.htm#topology_schema.closed_shell
237,clothoid,回旋曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.clothoid
238,coaxiality_tolerance,同轴度公差,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.coaxiality_tolerance
239,colour,颜色,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_resource_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/7_schema.htm#presentation_resource_schema.colour
240,colour_rgb,颜色RGB,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_resource_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/7_schema.htm#presentation_resource_schema.colour_rgb
241,colour_specification,颜色规范,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization）,presentation_resource_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/7_schema.htm#presentation_resource_schema.colour_specification
242,common_datum,公共基准,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.common_datum
243,comparison_equal,比较相等,表达式 / 数学 / 矩阵,2D 绘图 / 草图（2D drafting & sketch） / 表达式 / 数学 / 矩阵,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
244,comparison_expression,比较表达式,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
245,comparison_greater,比较大于,表达式 / 数学 / 矩阵,2D 绘图 / 草图（2D drafting & sketch） / 表达式 / 数学 / 矩阵,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
