序号,框类型,实体名,中文名,EXPRESS schema,说明链接
502,实体定义框,external_identification_assignment,外部标识赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.external_identification_assignment
503,实体定义框,external_identification_assignment_relationship,外部标识赋值关系,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.external_identification_assignment_relationship
504,实体定义框,external_source,外部源,external_reference_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/14_schema.htm#external_reference_schema.external_source
505,实体定义框,external_source_relationship,外部源关系,external_reference_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/14_schema.htm#external_reference_schema.external_source_relationship
506,实体定义框,externally_defined_character_glyph,外部定义字符字形,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.externally_defined_character_glyph
507,实体定义框,externally_defined_class,外部定义类,external_class_mim,https://www.steptools.com/stds/smrl/data/modules/external_class/sys/5_mim.htm#external_class_mim.externally_defined_class
508,实体定义框,externally_defined_colour,外部定义颜色,colour_mim,https://www.steptools.com/stds/smrl/data/modules/colour/sys/5_mim.htm#colour_mim.externally_defined_colour
509,实体定义框,externally_defined_curve_font,外部定义曲线字体,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.externally_defined_curve_font
510,实体定义框,externally_defined_dimension_definition,外部定义的尺寸定义,dimension_tolerance_mim,https://www.steptools.com/stds/smrl/data/modules/dimension_tolerance/sys/5_mim.htm#dimension_tolerance_mim.externally_defined_dimension_definition
511,实体定义框,externally_defined_feature_definition,外部定义特征定义,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.externally_defined_feature_definition
512,实体定义框,externally_defined_general_property,外部定义通用属性,external_properties_mim,https://www.steptools.com/stds/smrl/data/modules/external_properties/sys/5_mim.htm#external_properties_mim.externally_defined_general_property
513,实体定义框,externally_defined_hatch_style,外部定义剖面线样式,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.externally_defined_hatch_style
514,实体定义框,externally_defined_item,外部定义项,external_reference_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/14_schema.htm#external_reference_schema.externally_defined_item
515,实体定义框,externally_defined_item_relationship,外部定义项关系,external_reference_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/14_schema.htm#external_reference_schema.externally_defined_item_relationship
516,实体定义框,externally_defined_item_with_multiple_references,带多个引用的外部定义项,external_reference_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/14_schema.htm#external_reference_schema.externally_defined_item_with_multiple_references
517,实体定义框,externally_defined_marker,外部定义标记,curve_appearance_mim,https://www.steptools.com/stds/smrl/data/modules/curve_appearance/sys/5_mim.htm#curve_appearance_mim.externally_defined_marker
518,实体定义框,externally_defined_representation,外部定义表示,external_representation_item_mim,https://www.steptools.com/stds/smrl/data/modules/external_representation_item/sys/5_mim.htm#external_representation_item_mim.externally_defined_representation
519,实体定义框,externally_defined_representation_item,外部定义表示项,external_representation_item_mim,https://www.steptools.com/stds/smrl/data/modules/external_representation_item/sys/5_mim.htm#external_representation_item_mim.externally_defined_representation_item
520,实体定义框,externally_defined_representation_with_parameters,带参数的外部定义表示,aim-externally_defined_representation_with_parameters,https://stepmfg.github.io/ap238/data/clause5.htm#aim-externally_defined_representation_with_parameters
521,实体定义框,externally_defined_string,外部定义字符串,external_representation_item_mim,https://www.steptools.com/stds/smrl/data/modules/external_representation_item/sys/5_mim.htm#external_representation_item_mim.externally_defined_string
522,实体定义框,externally_defined_style,外部定义样式,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.externally_defined_style
523,实体定义框,externally_defined_symbol,外部定义符号,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.externally_defined_symbol
524,实体定义框,externally_defined_terminator_symbol,外部定义终止符符号,curve_appearance_mim,https://www.steptools.com/stds/smrl/data/modules/curve_appearance/sys/5_mim.htm#curve_appearance_mim.externally_defined_terminator_symbol
525,实体定义框,externally_defined_text_font,外部定义文本字体,presentation_resource_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/7_schema.htm#presentation_resource_schema.externally_defined_text_font
526,实体定义框,externally_defined_tile,外部定义瓦片,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.externally_defined_tile
527,实体定义框,externally_defined_tile_style,外部定义瓦片样式,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.externally_defined_tile_style
528,实体定义框,externally_listed_data,外部列出数据,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
529,实体定义框,extruded_area_solid,拉伸面积实体,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.extruded_area_solid
530,实体定义框,extruded_face_solid,拉伸面实体,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.extruded_face_solid
531,实体定义框,face,面,topology_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/5_schema.htm#topology_schema.face
532,实体定义框,face_based_surface_model,面基于曲面模型,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.face_based_surface_model
533,实体定义框,face_bound,面界,topology_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/5_schema.htm#topology_schema.face_bound
534,实体定义框,face_outer_bound,面外界,topology_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/5_schema.htm#topology_schema.face_outer_bound
535,实体定义框,face_shape_representation,面形状表示,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.face_shape_representation
536,实体定义框,face_shape_representation_relationship,面形状表示关系,machining_features_mim,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/5_mim.htm#machining_features_mim.face_shape_representation_relationship
537,实体定义框,face_surface,面曲面,topology_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/5_schema.htm#topology_schema.face_surface
538,实体定义框,faceted_brep,分面边界表示,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.faceted_brep
539,实体定义框,faceted_brep_shape_representation,分面边界表示形状表示,,https://www.steptools.com/stds/smrl/data/resource_docs/faceted_boundary_representation/ISO_10303-512_1999(E)-Character_PDF_document.pdf
540,实体定义框,faceted_primitive,分面基本体,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.faceted_primitive
541,实体定义框,facing_turning_operation,端面加工车削操作,aim-facing_turning_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-facing_turning_operation
542,实体定义框,feature_component_definition,特征组件定义,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.feature_component_definition
543,实体定义框,feature_component_relationship,特征组件关系,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.feature_component_relationship
544,实体定义框,feature_definition,特征定义,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.feature_definition
545,实体定义框,feature_definition_with_connection_area,带连接面积的特征定义,feature_and_connection_zone_mim,https://www.steptools.com/stds/smrl/data/modules/feature_and_connection_zone/sys/5_mim.htm#feature_and_connection_zone_mim.feature_definition_with_connection_area
546,实体定义框,feature_for_datum_target_relationship,基准目标要素关系,datum_and_datum_systems_mim,https://www.steptools.com/stds/smrl/data/modules/datum_and_datum_systems/sys/5_mim.htm#datum_and_datum_systems_mim.feature_for_datum_target_relationship
547,实体定义框,feature_pattern,特征阵列,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.feature_pattern
548,实体定义框,fill_area_style,填充面积样式,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.fill_area_style
549,实体定义框,fill_area_style_colour,填充面积样式颜色,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.fill_area_style_colour
550,实体定义框,fill_area_style_hatching,填充面积样式剖面线,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.fill_area_style_hatching
551,实体定义框,fill_area_style_tile_coloured_region,填充面积样式瓦片着色区域,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.fill_area_style_tile_coloured_region
552,实体定义框,fill_area_style_tile_curve_with_style,带样式的填充面积样式瓦片曲线,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.fill_area_style_tile_curve_with_style
553,实体定义框,fill_area_style_tile_symbol_with_style,带样式的填充面积样式瓦片符号,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.fill_area_style_tile_symbol_with_style
554,实体定义框,fill_area_style_tiles,填充面积样式瓦片,presentation_appearance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/6_schema.htm#presentation_appearance_schema.fill_area_style_tiles
555,实体定义框,fillet,圆角,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.fillet
556,实体定义框,final_solution,最终解,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.final_solution
557,实体定义框,finite_function,有限函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
558,实体定义框,finite_integer_interval,有限整数区间,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
559,实体定义框,finite_real_interval,有限实数区间,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
560,实体定义框,finite_space,有限空间,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
561,实体定义框,fixed_reference_swept_surface,固定引用扫掠曲面,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.fixed_reference_swept_surface
562,实体定义框,flat_face,平面面,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.flat_face
563,实体定义框,flatness_tolerance,平面度公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.flatness_tolerance
564,实体定义框,force_measure_with_unit,带单位的力值,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.force_measure_with_unit
565,实体定义框,force_unit,力单位,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.force_unit
566,实体定义框,format_function,格式函数,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
567,实体定义框,founded_item,基于项,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.founded_item
568,实体定义框,free_variable_semantics,自由变量语义,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
569,实体定义框,freeform_milling_operation,自由曲面铣削操作,aim-freeform_milling_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-freeform_milling_operation
570,实体定义框,freeform_milling_strategy,自由曲面铣削策略,aim-freeform_milling_strategy,https://stepmfg.github.io/ap238/data/clause5.htm#aim-freeform_milling_strategy
571,实体定义框,freeform_milling_tolerance_representation,自由曲面铣削公差表示,aim-freeform_milling_tolerance_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-freeform_milling_tolerance_representation
572,实体定义框,frequency_measure_with_unit,带单位的频率值,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.frequency_measure_with_unit
573,实体定义框,frequency_unit,频率单位,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.frequency_unit
574,实体定义框,fully_constrained_pair,完全受约束副,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.fully_constrained_pair
575,实体定义框,function_application,函数应用,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
576,实体定义框,function_space,函数空间,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
577,实体定义框,functional_breakdown_context,功能分解上下文,functional_breakdown_mim,https://www.steptools.com/stds/smrl/data/modules/functional_breakdown/sys/5_mim.htm#functional_breakdown_mim.functional_breakdown_context
578,实体定义框,functional_element_usage,功能元素用法,functional_breakdown_mim,https://www.steptools.com/stds/smrl/data/modules/functional_breakdown/sys/5_mim.htm#functional_breakdown_mim.functional_element_usage
579,实体定义框,functionally_defined_transformation,功能定义变换,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.functionally_defined_transformation
580,实体定义框,gear,齿轮,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.gear
581,实体定义框,gear_pair,齿轮副,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.gear_pair
582,实体定义框,gear_pair_value,齿轮副值,kinematic_state_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/7_schema.htm#kinematic_state_schema.gear_pair_value
583,实体定义框,gear_pair_with_range,带范围的齿轮副,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.gear_pair_with_range
584,实体定义框,general_datum_reference,公共基准引用,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.general_datum_reference
585,实体定义框,general_feature,通用特征,shape_feature_mim,https://www.steptools.com/stds/smrl/data/modules/shape_feature/sys/5_mim.htm#shape_feature_mim.general_feature
586,实体定义框,general_linear_function,通用线性函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
587,实体定义框,general_material_property,通用材料属性,generic_material_aspects_mim,https://www.steptools.com/stds/smrl/data/modules/generic_material_aspects/sys/5_mim.htm#generic_material_aspects_mim.general_material_property
588,实体定义框,general_property,通用属性,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.general_property
589,实体定义框,general_property_association,通用属性关联,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.general_property_association
590,实体定义框,general_property_relationship,通用属性关系,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.general_property_relationship
591,实体定义框,generic_expression,通用表达式,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
592,实体定义框,generic_literal,通用字面量,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
593,实体定义框,generic_product_definition_reference,通用产品定义引用,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.generic_product_definition_reference
594,实体定义框,generic_variable,通用变量,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
595,实体定义框,geometric_alignment,几何对齐,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.geometric_alignment
596,实体定义框,geometric_contact,几何接触,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.geometric_contact
597,实体定义框,geometric_curve_set,几何曲线集合,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.geometric_curve_set
598,实体定义框,geometric_intersection,几何相交,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.geometric_intersection
599,实体定义框,geometric_item_specific_usage,几何项特定用法,shape_property_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/shape_property_assignment/sys/5_mim.htm#shape_property_assignment_mim.geometric_item_specific_usage
600,实体定义框,geometric_model_element_relationship,几何模型元素关系,extended_basic_geometry_mim,https://www.steptools.com/stds/smrl/data/modules/extended_basic_geometry/sys/5_mim.htm#extended_basic_geometry_mim.geometric_model_element_relationship
601,实体定义框,geometric_representation_context,几何表示上下文,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.geometric_representation_context
602,实体定义框,geometric_representation_context_with_parameter,带参数的几何表示上下文,kinematic_motion_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/8_schema.htm#kinematic_motion_representation_schema.geometric_representation_context_with_parameter
603,实体定义框,geometric_representation_item,几何表示项,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.geometric_representation_item
604,实体定义框,geometric_set,几何集合,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.geometric_set
605,实体定义框,geometric_tolerance,几何公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance
606,实体定义框,geometric_tolerance_auxiliary_classification,几何公差辅助分类,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance_auxiliary_classification
607,实体定义框,geometric_tolerance_relationship,几何公差关系,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance_relationship
608,实体定义框,geometric_tolerance_with_datum_reference,带基准的几何公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance_with_datum_reference
609,实体定义框,geometric_tolerance_with_defined_area_unit,带定义面积单位的几何公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance_with_defined_area_unit
610,实体定义框,geometric_tolerance_with_defined_unit,带定义单位的几何公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance_with_defined_unit
611,实体定义框,geometric_tolerance_with_maximum_tolerance,带最大公差的几何公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance_with_maximum_tolerance
612,实体定义框,geometric_tolerance_with_modifiers,带修饰符的几何公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.geometric_tolerance_with_modifiers
613,实体定义框,geometrical_tolerance_callout,几何公差注记,aic_draughting_elements,https://www.steptools.com/stds/smrl/data/resource_docs/draughting_elements/sys/4_schema.htm#aic_draughting_elements.geometrical_tolerance_callout
614,实体定义框,geometrically_bounded_surface_shape_representation,几何有界曲面形状表示,,https://www.steptools.com/stds/smrl/data/resource_docs/geometrically_bounded_surface/ISO_10303-507_2001(E)-Character_PDF_document.pdf
615,实体定义框,geometrically_bounded_wireframe_shape_representation,几何有界线框形状表示,,https://www.steptools.com/stds/smrl/data/resource_docs/geometrically_bounded_wireframe/ISO_10303-510_2000(E)-Character_PDF_document.pdf
616,实体定义框,global_uncertainty_assigned_context,全局不确定度赋值上下文,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.global_uncertainty_assigned_context
617,实体定义框,global_unit_assigned_context,全局单位赋值上下文,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.global_unit_assigned_context
618,实体定义框,gps_filter,GPS过滤,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.gps_filter
619,实体定义框,gps_filtration_specification,GPS过滤规范,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.gps_filtration_specification
620,实体定义框,grooving_turning_operation,切槽车削操作,aim-grooving_turning_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-grooving_turning_operation
621,实体定义框,group,组,group_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/15_schema.htm#group_schema.group
622,实体定义框,group_assignment,组赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.group_assignment
623,实体定义框,group_relationship,组关系,group_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/15_schema.htm#group_schema.group_relationship
624,实体定义框,half_space_solid,半空间实体,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.half_space_solid
625,实体定义框,hardness_representation,硬度表示,surface_conditions_mim,https://www.steptools.com/stds/smrl/data/modules/surface_conditions/sys/5_mim.htm#surface_conditions_mim.hardness_representation
626,实体定义框,hexahedron_volume,六面体体积,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.hexahedron_volume
627,实体定义框,hidden_element_over_riding_styled_item,隐藏元素的覆盖样式项,camera_view_3d_mim,https://www.steptools.com/stds/smrl/data/modules/camera_view_3d/sys/5_mim.htm#camera_view_3d_mim.hidden_element_over_riding_styled_item
628,实体定义框,high_order_kinematic_pair,高次序运动学副,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.high_order_kinematic_pair
629,实体定义框,hole_bottom,孔底部,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.hole_bottom
630,实体定义框,homogeneous_linear_function,齐次线性函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
631,实体定义框,homokinetic_pair,等速副,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.homokinetic_pair
632,实体定义框,hyperbola,双曲线,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.hyperbola
633,实体定义框,id_attribute,标识属性,basic_attribute_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/7_schema.htm#basic_attribute_schema.id_attribute
634,实体定义框,identification_assignment,标识赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.identification_assignment
635,实体定义框,identification_role,标识角色,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.identification_role
636,实体定义框,idrm_classification_assignment,IDRM分类赋值,incomplete_data_reference_mechanism_mim,https://www.steptools.com/stds/smrl/data/modules/incomplete_data_reference_mechanism/sys/5_mim.htm#incomplete_data_reference_mechanism_mim.idrm_classification_assignment
637,实体定义框,illuminance_measure_with_unit,带单位的照度值,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.illuminance_measure_with_unit
638,实体定义框,illuminance_unit,照度单位,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.illuminance_unit
639,实体定义框,imported_curve_function,导入曲线函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
640,实体定义框,imported_point_function,导入点函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
641,实体定义框,imported_surface_function,导入曲面函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
642,实体定义框,imported_volume_function,导入体积函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
643,实体定义框,included_text_block,包含文本块,tagged_text_representation_mim,https://www.steptools.com/stds/smrl/data/modules/tagged_text_representation/sys/5_mim.htm#tagged_text_representation_mim.included_text_block
644,实体定义框,inclusion_product_concept_feature,内含产品概念特征,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.inclusion_product_concept_feature
645,实体定义框,index_expression,索引表达式,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
